CodigoExterno,Nombre,CodigoEstado,FechaCierre
1024-37-LP25,SUMINISTRO MATERIAL GRANULAR RUTA A- 456. DRV - TA,5,2025-10-06 19:54:00
1026727-25-LE25,Adquisicion de 3 Bancos de entrenamiento TNS EEi,5,2025-10-10 17:00:00
1026727-26-LE25,Extension de colector alcantarillado CFT,5,2025-10-06 17:00:00
1026727-28-LE25,Adquisición de pantallas Interactivas para el CFT,5,2025-10-13 17:00:00
1028897-35-LE25,COMPRA EQUIPAMIENTO TP LICEO MARTIN KLEINKNECHT,5,2025-10-06 15:01:00
1028897-36-LR25,CONSERVACIÓN ESCUELA PÚBLICA ARENAS BLANCAS,5,2025-10-17 15:01:00
1028897-37-LE25,Compra Equipamiento TP Liceo Claudio Arrau León,5,2025-10-10 15:01:00
1028897-38-LE25,COMPRA EQUIPAMIENTO TP LICEO LUIS GONZALEZ VASQUEZ,5,2025-10-10 15:01:00
1028897-39-LE25,COMPRA EQUIPAMIENTO LICEO TP HUALPIN,5,2025-10-13 15:01:00
1028897-40-LE25,COMPRA EQUIPAMIENTO TP LICEO REINO SUECIA DEL SLEP,5,2025-10-13 15:01:00
1029-30-LP25,ADQUISICIÓN DE EMULSION ASFALTICA PARA DRV MAULE,5,2025-10-13 15:27:00
1030-29-LE25,Material Granular con derecho a cantera,5,2025-10-13 15:30:00
1031849-14-LE25,Servicios de Traslado de Pacientes Ambulancias,5,2025-10-13 16:00:00
1031849-15-L125,Servicio de Emisión de Licencias Medicas Electrónicas,5,2025-10-10 15:00:00
1033392-2-LE25,TARJETAS DE REGALO BONO DE NAVIDAD 2025 PARA LOS AFILIADOS AL SERVICIO DE BIENESTAR DE PROVIDENCIA.,5,2025-10-24 12:00:00
1033392-3-L125,Adquisición de juguetes de navidad 2025 para hijos de funcionarios afiliados al Servicio de Bienestar.,5,2025-10-30 12:00:00
1035-24-LE25,Servicio Abogado apoyo Conaf VI Region,5,2025-10-13 15:05:00
1035-27-L125,Serv. Mantención y/o construcción mecanizada de cortafuego en la Prov. C.Caro,5,2025-10-06 15:00:00
1035685-19-LQ25,SERVICIOS DE ASEO CFT DE LOS RIOS,5,2025-10-21 17:00:00
1035685-20-LE25,EQUIPAMIENTO CARRERAS ESCUELA DE SALUD,5,2025-10-10 17:00:00
1035685-21-LE25,EQUIPAMIENTO CARRERA DE ELECTRICIDAD,5,2025-10-13 17:00:00
1036-24-I225,SERVICIO DE ARRIENDO DE MÓVILES PARA TRANSPORTE DE AGUA Y PERSONAL DE BRIGADAS DEL DEPARTAMENTO DE PROTECCIÓN CONTRA INCENDIOS FORESTALES PARA LOS PERIODOS 2025-2026 2026-2027,5,2025-10-17 17:01:00
1036-26-LP25,Adquisición de Plantas 2025,5,2025-10-22 15:00:00
1036-27-LE25,SERVICIO ARRIENDO BUS TRANSPORTEPERSONAL BRIGADAS,5,2025-10-13 15:10:00
1036-30-LE25,CONVENIO DE SUMINSITRO ADQUISICIÓN DE ELEMENTOS DE PROTECCIÓN PERSONAL EPP PARA USO LABORAL,5,2025-10-08 17:01:00
1036569-25-LE25,CONEXIÓN ACCESO UNIVERSAL: PASILLO-ASCENSOR,5,2025-10-13 17:34:00
1037-13-LQ25,ARRDO. 15 CAMIONETAS 4x4 DC DEPRIF REG. LOS LAGOS,5,2025-10-07 10:00:00
1037-14-LQ25,ARRIENDO DE 6 CAMIONES CARROZADOS PARA BRIGADAS,5,2025-10-23 10:00:00
1038-17-LE25,MATERIALES PARA DIVERSAS FAENAS FORESTALES,5,2025-10-13 15:15:00
1039043-29-LE25,E1O2RT9 PRODUCCION DIA DE LA MUJER RURAL,5,2025-10-08 18:00:00
1039-10-LR25,Servicio de Transporte de Agua en Camión Aljibe,5,2025-10-15 17:44:00
1039-8-LP25,Arriendo Camión Pluma Carga y Estanque 2.000 Lts.,5,2025-10-14 15:00:00
1042-16-LE25,Adquisición de Container de Almacenamiento CAD DAP,5,2025-10-08 16:00:00
1042-17-LE25,Servicio de suministro de supresor de polvo CAD,5,2025-10-09 16:00:00
1043030-17-L125,LOGÍSTICA Y PRODUCCIÓN DE CONVERSATORIO DE ASTRO POESÍA EN EL AÑO DE GABRIELA MISTRAL 2025 Y SERVICIO DE TRASLADO Y TRANSPORTE DE DELEGACIÓN DE CAMPEONES REGIONALES DE CUECA ESCOLAR REGIÓN DE ÑUBLE 2025 A MUESTRA NACIONAL DE CUECA ESCOLAR MAULE 2025,5,2025-10-08 16:31:00
1043046-14-LR25,SERVICIOS DE ENTREGA DE AGUA POTABLE DIGUILLIN,5,2025-10-27 15:00:00
1043-28-O125,"CONSERV.RUT.  AEROD. LAG.  SAN RAFAEL, REG. AYSEN",5,2025-10-24 10:00:00
1046-24-LE25,AIF Ampliación Red Piezométrica Atacama,5,2025-10-06 17:32:00
1046-25-LE25,AIF RESTITUCIÓN EF RÍO COPIAPÓ EN PASTILLO,5,2025-10-06 16:03:00
1047296-7-H225,CONEXION AGUA POTAB. VILLA EL CONQUISTADOR COELEMU,5,2025-10-16 15:00:00
1048-65-LP25,CONSTR. MULTICANCHA Y CIERRE ESC. QUILLAYCILLO,5,2025-10-22 15:00:00
1048-67-B225,CONST. INFRAESTRUCTURA CANCHA EL TRIANGULO LIC PRIVADA,5,2025-11-03 15:01:00
1049-100-LE25,SERVICIO DE ARRIENDO DE EMBARCACIÓN PARA EL ESTUDIO SESGO DE ORILLA EN LA EVALUACIÓN HIDROACÚSTICA DE LOS STOCKS DE ANCHOVETA Y SARDINA COMÚN EN LA REGIÓN DE LA ARAUCANÍA Y LA REGIÓN DE LOS RÍOS AÑO 2026.,5,2025-10-06 15:30:00
1049-101-LE25,SERVICIO DE ARRIENDO DE EMBARCACIÓN PARA EL ESTUDIO SESGO DE ORILLA EN LA EVALUACIÓN HIDROACÚSTICA DE LOS STOCKS DE ANCHOVETA Y SARDINA COMÚN EN LA REGIÓN DEL ÑUBLE Y LA REGIÓN DEL BIOBIO AÑO 2026.,5,2025-10-06 15:30:00
1049-102-LE25,ADQUISICIÓN DE BOYA OCEANOGRÁFICA COSTERA,5,2025-10-06 15:30:00
1049-103-LE25,ADQUISICIÓN DE 02 ESTACIONES METEOROLÓGICAS PARA EL INSTITUTO DE FOMENTO PESQUERO.,5,2025-10-06 15:30:00
1049-104-LE25,ADQUISICION DE DOS SERVIDORES DE ALTO RENDIMIENTO  PARA SEDE PUTEMUN DEL INSTITUTO DE FOMENTO  PESQUERO,5,2025-10-14 15:31:00
1049242-35-LE25,FIESTA PATRIMONIAL DEL ROSARIO NINHUE,5,2025-10-13 15:01:00
1049242-36-LE25,SERVICIO PARA ENCUENTRO REGIONAL PUNTOS CULTURA SAN FABIAN DE ALICO,5,2025-10-13 15:01:00
1049-96-LQ25,SERVICIO DE RED DE ESTACIONES FIJAS PARA EL MONITOREO DE VARIABLES POBLACIONALES DE LOS RECURSOS ERIZO ALMEJA Y LUGA ROJA EN LAS REGIONES DE LOS LAGOS Y AYSÉN,5,2025-10-14 15:31:00
1049-97-B225,SERVICIOS DE VIGILANCIA EN EDIFICIOS CORPORATIVOS TALCAHUANO VALPARAÍSO Y PUERTO MONTT,5,2025-10-06 15:30:00
1050283-29-L125,CONTRATO SUMINISTRO DE TORTAS,5,2025-10-07 18:01:00
1051173-7-LE25,SERVICIO DE TRANSPORTE PRIVADO DE PASAJEROS,5,2025-10-13 17:30:00
1051425-58-LP25,ADQ DE VIGAS METÁLICAS PARA FAENAS DE LA DRV-ÑUBLE,5,2025-10-07 15:00:00
1051425-65-LP25,ARRIEND RODILLO COMPACTADOR RETROEXCAVADORA CAMIÓN,5,2025-10-14 15:00:00
1051765-24-L125,CURSO TSP SENCE SISTEMA CERRADO “FABRICACIÓN E INSTALACION DE VENTANAS EN TERMOPANEL”,5,2025-10-10 15:00:00
1056854-12-LE25,Suscripción Anual de 82 licencias Meraki 2025-2026,5,2025-10-06 15:15:00
1056854-13-LE25,ADQUISICIÓN DE 75 UPS ADMINISTRABLES MONITOREABLES Y CON NOTIFICACIONES,5,2025-10-10 20:00:00
1057049-263-LR25,ICC. 	Suministro de materiales de carpintería y otros para la Sub-Unidad de Mantenimiento del HCSBA,5,2025-10-06 17:32:00
1057049-266-LR25,PCV - Servicio de Vigilancia,5,2025-10-06 15:30:00
1057049-268-LE25,PTF SUM. IMPLANTES CERVICALES PARA VIA ANTERIOR,5,2025-10-06 15:30:00
1057049-277-LQ25,CSP - Servicio de Mantención de Paisajismo Poda,5,2025-10-06 15:30:00
1057049-286-LQ25,PTF ADQUISICION KIT SOLO DE COMPONENTE FEMORAL CONICO,5,2025-10-13 15:30:00
1057049-287-LE25,JLL CONTRATACION SERVICIO DE TRASLADO DE MOBILIARIO E INSUMOS CLINICOS DE USO GENERAL EN CAMIÓN DE CARGA PARA EL HOSPITAL CLINICO SAN BORJA ARRIARAN.,5,2025-10-06 15:30:00
1057049-288-LE25,JCD ADQ. DE CARGAS Y STAPLER PARA COMPLEMENTAR,5,2025-10-06 15:30:00
1057049-289-LQ25,VDH Servicio de mantención preventiva y correctiva de equipos médicos,5,2025-10-20 15:30:00
1057049-290-LE25,PTF KIT DE FIJADORES EXTERNOS TIPO MONOLATERAL Y ACCESORIOS,5,2025-10-08 15:30:00
1057049-291-LR25,ICC. Servicio de Mantención Preventiva y Correctiva de Ascensores y Montacargas del Hospital Clínico San Borja Arriarán ,5,2025-11-03 15:30:00
1057049-293-H225,VDH - Mantenimiento equipos RX mediana complejidad,5,2025-10-20 15:30:00
1057055-93-LR25,GSP SUMINISTRO DE MEDICAMENTO INSULINA HUMANA GLARGINA RECOMBINANTE LAPIZ PRECARGADO 100UIML 3ML CON EQUIPOS EN COMODATO,5,2025-10-13 15:30:00
1057055-94-LE25,GSP SUMINISTRO DE MEDICAMENTOS PANCREATINA 10.000 UI Y 25.000 UI,5,2025-10-06 15:30:00
1057055-95-LE25,GSP SUMINISTRO DE MEDICAMENTO FIBRINÓGENO HUMANO 1 GR,5,2025-10-13 15:30:00
1057056-9-LE25,VDH Adquisición de de instrumental de oftalmología para el HCSBA,5,2025-10-06 15:30:00
1057062-8-LE25,Diseño de Arquitectura y Especialidades CAT,5,2025-10-17 15:30:00
1057124-2-LE25,CONTRATACIÓN DE SERVICIO EXTERNO DE GUARDIAS,5,2025-10-09 15:00:00
1057379-16-LQ25,SERVICIO DE ASEO PARA EL HOSPITAL SAN ANTONIO DE PUTAENDO ,5,2025-10-22 17:00:00
1057384-128-LE25,COMPRA DE SERVICIO DE PERSONAL MEDICO Y NO MEDICO,5,2025-10-07 13:21:00
1057384-130-L125,COMPRA DE ZAPATOS DE SEGURIDAD.,5,2025-10-07 21:00:00
1057384-131-L125,Cargas para filtros de Dialisis,5,2025-10-07 15:37:00
1057384-133-L125,Compra de insumos para pacientes,5,2025-10-08 16:22:00
1057389-75-LE25,SUMINISTRO DE SEVOFLURANO,5,2025-10-09 16:00:00
1057389-76-LQ25,SUMINISTRO DE INSUMOS Y DETERMINACIONES PARA UMT,5,2025-10-23 16:00:00
1057389-79-LP25,Suministro Protesis de Rodilla 2,5,2025-10-27 20:00:00
1057389-82-LP25,PRESTACIONES VASCULARES,5,2025-10-06 16:00:00
1057390-15-LR24,CONV. INSUMOS Y REACTIVOS PARA EXÁMENES DE MICROBIOLOGÍA CON PROVISIÓN DE EQUIPAMIENTO RED SSAN,5,2025-10-07 16:00:00
1057390-53-LE25,MANTENCIÓN CORRECTIVA CLÍNICA DENTAL MÓVIL HCHF-44,5,2025-10-07 15:30:00
1057390-58-LE25,ADQUISICIÓN DE PASTAS DENTALES APS,5,2025-10-09 15:30:00
1057390-59-LE25,ADQUISIÓN INSUMOS DENTALES CLÍNICAS MÓVILES DSSAN,5,2025-10-13 15:30:00
1057402-169-LR25,Suministro de Gases Clínicos y Gases Especiales para el Hospital Clínico de Magallanes,5,2025-11-07 15:00:00
1057402-195-LP25,SERVICIOS EJECUCIÓN DE EXÁMENES PET-CT Y SPECT-CT,5,2025-10-28 17:34:00
1057402-217-LR25,IMPLANTES E INSUMOS TMT HCM 2025-2027,5,2025-10-06 15:00:00
1057402-219-LR25,INSUMOS Y ACCESORIOS DE EQUIPOS MÉDICOS 2026-2027,5,2025-10-13 15:01:00
1057402-222-LR25,REACTIVOS PARA LA REALIZACIÓN DE EXÁMENES PCR EN T,5,2025-10-16 15:00:00
1057402-225-LQ25,INSUMOS PARA CIRUGIAS DIGESTIVAS,5,2025-10-06 15:00:00
1057402-226-LR25,INSUMOS PARA ENDOSCOPIA,5,2025-10-16 15:00:00
1057402-229-LQ25,INSUMOS DE HEMODINAMIA VASCULAR HCM 2025-2026,5,2025-10-07 15:00:00
1057402-230-LE25,INSUMOS MEDICOS PARA CAE Y C.R. DE LA MUJER ,5,2025-10-06 15:00:00
1057402-231-LQ25,ANTISEPTICOS Y DESINFECTANTES HCM 2026-2027,5,2025-10-07 15:00:00
1057402-232-LQ25,Contratación de Servicio de Bodegaje Externo para el Hospital Clínico de Magallanes,5,2025-10-20 15:00:00
1057402-233-LP25,Contratación de Servicios Hoteleros para relatores,5,2025-10-07 14:24:00
1057402-236-LE25,PAN FRESCO HCM 2025-2026,5,2025-10-06 15:00:00
1057402-238-LR25,INSUMOS MÉDICOS PARA UPC 2026-2027 ,5,2025-10-27 15:00:00
1057402-240-LR25,INSUMOS PARA TERAPIA VAC,5,2025-10-27 15:00:00
1057415-58-CO25,PRESTACIONES TRANSITORIAS DE AGENTES COMUNITARIOS,5,2025-10-07 09:00:00
1057417-248-LR25,COMPRA DE SERVICIOS DE EQUIPO QUIRÚRGICO PARA CIRUGÍAS DE COLECTOMÍA RECONSTRUCCIÓN COLOPROCTOLOGÍA HEMICOLECTOMÍA,5,2025-10-13 15:30:00
1057417-292-LE25,CONVENIO REVISION PRUEBAS Y REGISTRO DE CALDERAS DE VAPOR CALEFACCION Y AUTOCLAVES,5,2025-10-15 17:00:00
1057417-298-LP25,CONVENIO MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS SISTEMA DE ALIMENTACIÓN ININTERRUMPIDA MMA,5,2025-10-06 15:03:00
1057417-303-LP25,COMPRA DE SERVICIOS 1° Y 2° CIRUJANO PARA CIRUGIAS DE MENISCOS-ARTROSCOPIA DE RODILLA,5,2025-10-07 15:30:00
1057417-312-LP25,1° y 2° Cirujano para Cirugías de LCA-Meniscos,5,2025-10-06 15:30:00
1057417-313-LR25,AC - TRAUMATOLOGOS PARA FAST TRACK,5,2025-10-10 16:00:00
1057417-321-LP25,CONVENIO DE MANTENCIÓN PREVENTIVA Y CORRECTIVA DE SALA DE GASES MEDICINALES mma,5,2025-10-09 15:03:00
1057417-355-LP25,COMPRA DE SERVICIOS 1° Y 2° CIRUJANO PARA CIRUGIAS DE MAMAS,5,2025-10-06 15:30:00
1057417-360-LP25,ARRIENDO CENTRAL DE MONITOREO PARA UTI NEUROQUIRÚRGICA dsb,5,2025-10-06 17:00:00
1057417-48-LR25,Convenio en Consignación para Kit Maleta TAVI ccb ,5,2025-10-13 17:00:00
1057420-40-L125,ADQUISICIÓN DE MATERIALES NECESARIOS PARA LA ATENCION CLINICA DE USUARIOS DEL SERVICIO DE REHABILITACIÓN DEL HOSPITAL DE LA FAMILIA Y LA COMUNIDAD DE HUÉPIL,5,2025-10-06 15:00:00
1057420-41-LE25,PRESTACIONES DE APOYO CLINICO PROGRAMA PSICOSOCIAL,5,2025-10-13 15:30:00
1057422-27-LQ25,CONV. SERV. DE ASEO PARA TODO EL HOSPITAL DE YUMBE,5,2025-10-13 16:00:00
1057428-40-L125,UNIFORME CONDUCTORES Y CUARTO TURNO TENS TRASLADO,5,2025-10-27 17:00:00
1057429-46-LE25,MANTENCION PREVENTIVA Y CORRECTIVA EQUIPOS,5,2025-10-09 18:47:00
1057430-63-LP25,Convenio de Suministro Eliminación de documentos,5,2025-10-06 15:30:00
1057430-66-LE25,Convenio Mantención Refrigeradores,5,2025-10-06 16:00:00
1057430-67-LE25,Convenio Mantención Equipos Dentales,5,2025-10-06 16:00:00
1057432-73-LE25,SUMINISTRO COFFE BREAK PARA ACT. DE SALUD MENTAL,5,2025-10-06 17:00:00
1057432-74-LE25,DIPLOMADO DENOMINADO “GESTIÓN FARMACÉUTICA”,5,2025-10-09 15:00:00
1057434-26-LQ25,TRATAMIENTOS DE ORTODONCIA CON APARATOLOGÍA FIJA AÑO 1 - AÑO 2 CESFAM DR. VMF,5,2025-10-20 15:30:00
1057434-27-LE25,SERVICIO MANTENCIONES PREVENTIVAS CORRECTIVAS Y REPARATIVAS PARA VEHICULOS INSTITUCIONALES DEL CESFAM Dr. VICTOR M. FERNANDEZ,5,2025-10-08 13:00:00
1057448-56-LE25,CAPACITACIONES ATENCIÓN PRIMARIA RED ASISTENCIAL,5,2025-10-06 15:00:00
1057468-11-LP25,Servicio Aseo por 12 meses Cosam Lo Errázuriz SSMC,5,2025-10-07 15:00:00
1057468-12-LP25,Servicio Tto. Residencial Consumo Alcohol-Drogas,5,2025-10-16 15:01:00
1057472-165-LQ25,CONVENIO MANTENIMIENTO EQ. MEDICOS ACREDITABLES,5,2025-10-13 16:00:00
1057472-173-LR25,SUMINISTRO DE INFORMES RADIOLOGICOS,5,2025-10-13 16:00:00
1057472-174-LR25,SUMINISTRO DE EXAMENES DE TOMOGRAFIA COMPUTARIZADA,5,2025-10-24 16:00:00
1057472-176-LE25,Suministro de Insumos para Ortodoncia y Ortopedia,5,2025-10-06 17:00:00
1057472-182-LP25,Suministro de Insumos Generales: Sujetadores,5,2025-10-06 18:00:00
1057472-183-LE25,Suministro de insumos Generales: Agujas Krischner,5,2025-10-06 18:00:00
1057472-184-LE25,Suministro de insumos: Sondas Gastricas,5,2025-10-06 18:00:00
1057472-187-LP25,Suministro de Sondas,5,2025-10-13 18:00:00
1057474-35-LQ25,CONSERVACIÓN DE BAÑOS EDIFICIO SSMN,5,2025-10-14 15:00:00
1057474-36-LQ25,SERVICIO DE TRASLADOS DE PACIENTES EN HEMODIÁLISIS,5,2025-10-15 15:00:00
1057486-42-LR25,Tarjetas electrónicas para beneficio alimentación,5,2025-10-16 15:05:00
1057489-418-LR25,SERVICIO DE HORAS ENEFERMERIA URGENCIA DEL HDS,5,2025-10-06 15:30:00
1057489-427-LR25,Servicio de Unidad de Movilización y transporte para el Hospital del Salvador,5,2025-10-17 16:00:00
1057489-428-LR25,Servicios de Medicina Oftalmológica en Unidad de Trauma Ocular ,5,2025-10-20 17:00:00
1057489-429-LQ25,Convenio de Suministro de Placas y Tubos Agar preparados para A.T. Microbiología por 36 meses en el Hospital del Salvador ,5,2025-10-13 16:00:00
1057489-430-LR25,ERP PARA CONTINUIDAD ASISTENCIAL DE HOSPITAL DEL SALVADOR E INSTITUTO NACIONAL DE GERIATRÍA PRESIDENTE EDUARDO FREI MONTALVA.,5,2025-10-22 16:00:00
1057489-431-LQ25,Convenio de Suministro de Set de Intubación Vía Lagrimal por 36 meses para Hospital del Salvador ,5,2025-10-13 16:00:00
1057489-432-LQ25,Servicio de mantenimiento preventivo y correctivo para Cánulas Nasales de Alto Flujo Ventiladores Mecánicos Bases Calefactoras monitores biparámetros y desfibriladores pertenecientes a diversos servicios del Hospital del Salvador,5,2025-10-13 16:00:00
1057489-434-LQ25,Convenio de Suministro de Set de Clavo de Húmero por 24 meses para Hospital del Salvador,5,2025-10-13 15:30:00
1057489-435-LQ25,Convenio de Suministro de Set de placas bloqueadas de Húmero Proximal por 36 meses para Hospital del Salvador,5,2025-10-13 17:00:00
1057489-436-LQ25,Convenio de Suministro de Set Artroplastia Total de Rodilla tipo modular bisagra por 36 meses para Hospital del Salvador,5,2025-10-13 16:00:00
1057489-437-LQ25,Convenio de Suministro de Set de Prótesis de Cúpula Radial por 36 meses para Hospital del Salvador,5,2025-10-13 16:00:00
1057489-438-LQ25,Convenio de Suministro de Kit de Insumos para Cirugía MIS por 36 meses para Hospital del Salvador,5,2025-10-13 16:00:00
1057489-439-LQ25,Convenio de Suministro de Set de placas bloqueadas de calcáneo por 36 meses para Hospital del Salvador,5,2025-10-13 17:00:00
1057489-441-LQ25,Convenio de Suministro de Vástago de revisión no cementado tipo Monoblock por 36 meses para Hospital del Salvador,5,2025-10-14 16:00:00
1057489-442-LQ25,CONVENIO DE SUMINISTRO DE CATETER SOPORTE DE CRUCES POR 36 MESES PARA HOSPITAL DEL SALVADOR. ,5,2025-10-14 16:00:00
1057489-443-LR25,Servicio Guardias y Seguridad Privada para el Hospital del Salvador,5,2025-10-29 17:00:00
1057489-444-LE25,Convenio de suministro de reactivos e insumos para análisis automatizado en bioquímica clínica y otros por doce 12 meses con incorporación de equipamiento para Laboratorio Clínico del Hospital del Salvador ,5,2025-10-10 16:00:00
1057489-446-LE25,CONVENIO SUMINISTRO DE INMOVILIZADOR DE MUÑECA,5,2025-10-10 14:00:00
1057489-447-LQ25,Convenio de Suministro de Prótesis Biliares diferentes medidas por 36 meses para Hospital del Salvador,5,2025-10-20 15:12:00
1057489-448-LE25,Convenio de Suministro de Cánula de Vitroretina para Servicio de Oftalmología por 36 meses para Hospital del Salvador,5,2025-10-10 16:00:00
1057489-449-LQ25,Convenio de Suministro de Insumos para cirugía artroscópica de hombro por 24 meses para Hospital del Salvador,5,2025-10-21 16:00:00
1057489-450-LQ25,Convenio de Suministro de Kit de Laparoscopía y Otros por 24 meses para Hospital del Salvador ,5,2025-10-13 16:00:00
1057489-452-LQ25,Convenio de Suministro de Prótesis Vascular Recta por 36 meses para Hospital del Salvador ,5,2025-10-13 16:00:00
1057489-453-LR25,Convenio de Suministro de Endoprótesis Torácica Autoexpandible y Flexible por 36 meses para Hospital del Salvador,5,2025-11-03 17:00:00
1057489-454-LQ25,CONVENIO DE SUMINISTRO DE STENT BALON MONTADO TIPO BEGRAFT POR 24 MESES PARA HOSPITAL DEL SALVADOR.  ,5,2025-10-13 16:00:00
1057489-455-LE25,CONVENIO DE SUMINISTRO DE ELECTRODOS PARA ELECTROMIOGRAFIA EN SERVICIO DE NEUROLOGÍA POR 36 MESES PARA HOSPITAL DEL SALVADOR.   ,5,2025-10-13 16:00:00
1057489-456-LE25,CONVENIO DE SUMINISTRO DE AGUJAS KIRSCHNER PARA SERVICIO DE TRAUMATOLOGÍA POR 48 MESES PARA HOSPITAL DEL SALVADOR.,5,2025-10-13 16:30:00
1057489-457-LR25,Servicio de horas de personal profesional de Apoyo para el Departamento de Informática del Hospital del Salvador,5,2025-11-03 17:00:00
1057490-53-LP25,ADQUISICIÓN DE ARTÍCULOS DE FERRETERIA,5,2025-10-15 10:00:00
1057490-66-LR25,Servicios de Personal de Enfermería y Kinesiología,5,2025-10-09 12:00:00
