FechaCierre,Descripcion,Estado,CodigoTipo,TipoConvocatoria,MontoEstimado,Modalidad,EmailResponsablePago,Comprador.NombreOrganismo,Comprador.NombreUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.NombreUsuario,Comprador.CargoUsuario
2025-10-06 19:54:00,SUMINISTRO MATERIAL GRANULAR RUTA A- 456. DRV - TA,,,,,,,,,,,,
2025-10-10 17:00:00,Adquisicion de 3 Bancos de entrenamiento TNS EEi,,,,,,,,,,,,
2025-10-06 17:00:00,Extension de colector alcantarillado CFT,,,,,,,,,,,,
2025-10-13 17:00:00,Adquisición de pantallas Interactivas para el CFT,,,,,,,,,,,,
2025-10-06 15:01:00,COMPRA EQUIPAMIENTO TP LICEO MARTIN KLEINKNECHT,,,,,,,,,,,,
2025-10-17 15:01:00,CONSERVACIÓN ESCUELA PÚBLICA ARENAS BLANCAS,,,,,,,,,,,,
2025-10-10 15:01:00,Compra Equipamiento TP Liceo Claudio Arrau León,,,,,,,,,,,,
2025-10-10 15:01:00,COMPRA EQUIPAMIENTO TP LICEO LUIS GONZALEZ VASQUEZ,,,,,,,,,,,,
2025-10-13 15:01:00,COMPRA EQUIPAMIENTO LICEO TP HUALPIN,,,,,,,,,,,,
2025-10-13 15:01:00,COMPRA EQUIPAMIENTO TP LICEO REINO SUECIA DEL SLEP,,,,,,,,,,,,
2025-10-13 15:27:00,ADQUISICIÓN DE EMULSION ASFALTICA PARA DRV MAULE,,,,,,,,,,,,
2025-10-13 15:30:00,Material Granular con derecho a cantera,,,,,,,,,,,,
2025-10-13 16:00:00,Servicios de Traslado de Pacientes Ambulancias,,,,,,,,,,,,
2025-10-10 15:00:00,Servicio de Emisión de Licencias Medicas Electrónicas,,,,,,,,,,,,
2025-10-24 12:00:00,TARJETAS DE REGALO BONO DE NAVIDAD 2025 PARA LOS AFILIADOS AL SERVICIO DE BIENESTAR DE PROVIDENCIA.,,,,,,,,,,,,
2025-10-30 12:00:00,Adquisición de juguetes de navidad 2025 para hijos de funcionarios afiliados al Servicio de Bienestar.,,,,,,,,,,,,
2025-10-13 15:05:00,Servicio Abogado apoyo Conaf VI Region,,,,,,,,,,,,
2025-10-06 15:00:00,Serv. Mantención y/o construcción mecanizada de cortafuego en la Prov. C.Caro,,,,,,,,,,,,
2025-10-21 17:00:00,SERVICIOS DE ASEO CFT DE LOS RIOS,,,,,,,,,,,,
2025-10-10 17:00:00,EQUIPAMIENTO CARRERAS ESCUELA DE SALUD,,,,,,,,,,,,
2025-10-13 17:00:00,EQUIPAMIENTO CARRERA DE ELECTRICIDAD,,,,,,,,,,,,
2025-10-17 17:01:00,SERVICIO DE ARRIENDO DE MÓVILES PARA TRANSPORTE DE AGUA Y PERSONAL DE BRIGADAS DEL DEPARTAMENTO DE PROTECCIÓN CONTRA INCENDIOS FORESTALES PARA LOS PERIODOS 2025-2026 2026-2027,,,,,,,,,,,,
2025-10-22 15:00:00,Adquisición de Plantas 2025,,,,,,,,,,,,
2025-10-13 15:10:00,SERVICIO ARRIENDO BUS TRANSPORTEPERSONAL BRIGADAS,,,,,,,,,,,,
2025-10-08 17:01:00,CONVENIO DE SUMINSITRO ADQUISICIÓN DE ELEMENTOS DE PROTECCIÓN PERSONAL EPP PARA USO LABORAL,,,,,,,,,,,,
2025-10-13 17:34:00,CONEXIÓN ACCESO UNIVERSAL: PASILLO-ASCENSOR,,,,,,,,,,,,
2025-10-07 10:00:00,ARRDO. 15 CAMIONETAS 4x4 DC DEPRIF REG. LOS LAGOS,,,,,,,,,,,,
2025-10-23 10:00:00,ARRIENDO DE 6 CAMIONES CARROZADOS PARA BRIGADAS,,,,,,,,,,,,
2025-10-13 15:15:00,MATERIALES PARA DIVERSAS FAENAS FORESTALES,,,,,,,,,,,,
2025-10-08 18:00:00,E1O2RT9 PRODUCCION DIA DE LA MUJER RURAL,,,,,,,,,,,,
2025-10-15 17:44:00,Servicio de Transporte de Agua en Camión Aljibe,,,,,,,,,,,,
2025-10-14 15:00:00,Arriendo Camión Pluma Carga y Estanque 2.000 Lts.,,,,,,,,,,,,
2025-10-08 16:00:00,Adquisición de Container de Almacenamiento CAD DAP,,,,,,,,,,,,
2025-10-09 16:00:00,Servicio de suministro de supresor de polvo CAD,,,,,,,,,,,,
2025-10-08 16:31:00,LOGÍSTICA Y PRODUCCIÓN DE CONVERSATORIO DE ASTRO POESÍA EN EL AÑO DE GABRIELA MISTRAL 2025 Y SERVICIO DE TRASLADO Y TRANSPORTE DE DELEGACIÓN DE CAMPEONES REGIONALES DE CUECA ESCOLAR REGIÓN DE ÑUBLE 2025 A MUESTRA NACIONAL DE CUECA ESCOLAR MAULE 2025,,,,,,,,,,,,
2025-10-27 15:00:00,SERVICIOS DE ENTREGA DE AGUA POTABLE DIGUILLIN,,,,,,,,,,,,
2025-10-24 10:00:00,"CONSERV.RUT.  AEROD. LAG.  SAN RAFAEL, REG. AYSEN",,,,,,,,,,,,
2025-10-06 17:32:00,AIF Ampliación Red Piezométrica Atacama,,,,,,,,,,,,
2025-10-06 16:03:00,AIF RESTITUCIÓN EF RÍO COPIAPÓ EN PASTILLO,,,,,,,,,,,,
2025-10-16 15:00:00,CONEXION AGUA POTAB. VILLA EL CONQUISTADOR COELEMU,,,,,,,,,,,,
2025-10-22 15:00:00,CONSTR. MULTICANCHA Y CIERRE ESC. QUILLAYCILLO,,,,,,,,,,,,
2025-11-03 15:01:00,CONST. INFRAESTRUCTURA CANCHA EL TRIANGULO LIC PRIVADA,,,,,,,,,,,,
2025-10-06 15:30:00,SERVICIO DE ARRIENDO DE EMBARCACIÓN PARA EL ESTUDIO SESGO DE ORILLA EN LA EVALUACIÓN HIDROACÚSTICA DE LOS STOCKS DE ANCHOVETA Y SARDINA COMÚN EN LA REGIÓN DE LA ARAUCANÍA Y LA REGIÓN DE LOS RÍOS AÑO 2026.,,,,,,,,,,,,
2025-10-06 15:30:00,SERVICIO DE ARRIENDO DE EMBARCACIÓN PARA EL ESTUDIO SESGO DE ORILLA EN LA EVALUACIÓN HIDROACÚSTICA DE LOS STOCKS DE ANCHOVETA Y SARDINA COMÚN EN LA REGIÓN DEL ÑUBLE Y LA REGIÓN DEL BIOBIO AÑO 2026.,,,,,,,,,,,,
2025-10-06 15:30:00,ADQUISICIÓN DE BOYA OCEANOGRÁFICA COSTERA,,,,,,,,,,,,
2025-10-06 15:30:00,ADQUISICIÓN DE 02 ESTACIONES METEOROLÓGICAS PARA EL INSTITUTO DE FOMENTO PESQUERO.,,,,,,,,,,,,
2025-10-14 15:31:00,ADQUISICION DE DOS SERVIDORES DE ALTO RENDIMIENTO  PARA SEDE PUTEMUN DEL INSTITUTO DE FOMENTO  PESQUERO,,,,,,,,,,,,
2025-10-13 15:01:00,FIESTA PATRIMONIAL DEL ROSARIO NINHUE,,,,,,,,,,,,
2025-10-13 15:01:00,SERVICIO PARA ENCUENTRO REGIONAL PUNTOS CULTURA SAN FABIAN DE ALICO,,,,,,,,,,,,
2025-10-14 15:31:00,SERVICIO DE RED DE ESTACIONES FIJAS PARA EL MONITOREO DE VARIABLES POBLACIONALES DE LOS RECURSOS ERIZO ALMEJA Y LUGA ROJA EN LAS REGIONES DE LOS LAGOS Y AYSÉN,,,,,,,,,,,,
2025-10-06 15:30:00,SERVICIOS DE VIGILANCIA EN EDIFICIOS CORPORATIVOS TALCAHUANO VALPARAÍSO Y PUERTO MONTT,,,,,,,,,,,,
2025-10-07 18:01:00,CONTRATO SUMINISTRO DE TORTAS,,,,,,,,,,,,
2025-10-13 17:30:00,SERVICIO DE TRANSPORTE PRIVADO DE PASAJEROS,,,,,,,,,,,,
2025-10-07 15:00:00,ADQ DE VIGAS METÁLICAS PARA FAENAS DE LA DRV-ÑUBLE,,,,,,,,,,,,
2025-10-14 15:00:00,ARRIEND RODILLO COMPACTADOR RETROEXCAVADORA CAMIÓN,,,,,,,,,,,,
2025-10-10 15:00:00,CURSO TSP SENCE SISTEMA CERRADO “FABRICACIÓN E INSTALACION DE VENTANAS EN TERMOPANEL”,,,,,,,,,,,,
2025-10-06 15:15:00,Suscripción Anual de 82 licencias Meraki 2025-2026,,,,,,,,,,,,
2025-10-10 20:00:00,ADQUISICIÓN DE 75 UPS ADMINISTRABLES MONITOREABLES Y CON NOTIFICACIONES,,,,,,,,,,,,
2025-10-06 17:32:00,ICC. 	Suministro de materiales de carpintería y otros para la Sub-Unidad de Mantenimiento del HCSBA,,,,,,,,,,,,
2025-10-06 15:30:00,PCV - Servicio de Vigilancia,,,,,,,,,,,,
2025-10-06 15:30:00,PTF SUM. IMPLANTES CERVICALES PARA VIA ANTERIOR,,,,,,,,,,,,
2025-10-06 15:30:00,CSP - Servicio de Mantención de Paisajismo Poda,,,,,,,,,,,,
2025-10-13 15:30:00,PTF ADQUISICION KIT SOLO DE COMPONENTE FEMORAL CONICO,,,,,,,,,,,,
2025-10-06 15:30:00,JLL CONTRATACION SERVICIO DE TRASLADO DE MOBILIARIO E INSUMOS CLINICOS DE USO GENERAL EN CAMIÓN DE CARGA PARA EL HOSPITAL CLINICO SAN BORJA ARRIARAN.,,,,,,,,,,,,
2025-10-06 15:30:00,JCD ADQ. DE CARGAS Y STAPLER PARA COMPLEMENTAR,,,,,,,,,,,,
2025-10-20 15:30:00,VDH Servicio de mantención preventiva y correctiva de equipos médicos,,,,,,,,,,,,
2025-10-08 15:30:00,PTF KIT DE FIJADORES EXTERNOS TIPO MONOLATERAL Y ACCESORIOS,,,,,,,,,,,,
2025-11-03 15:30:00,ICC. Servicio de Mantención Preventiva y Correctiva de Ascensores y Montacargas del Hospital Clínico San Borja Arriarán ,,,,,,,,,,,,
2025-10-20 15:30:00,VDH - Mantenimiento equipos RX mediana complejidad,,,,,,,,,,,,
2025-10-13 15:30:00,GSP SUMINISTRO DE MEDICAMENTO INSULINA HUMANA GLARGINA RECOMBINANTE LAPIZ PRECARGADO 100UIML 3ML CON EQUIPOS EN COMODATO,,,,,,,,,,,,
2025-10-06 15:30:00,GSP SUMINISTRO DE MEDICAMENTOS PANCREATINA 10.000 UI Y 25.000 UI,,,,,,,,,,,,
2025-10-13 15:30:00,GSP SUMINISTRO DE MEDICAMENTO FIBRINÓGENO HUMANO 1 GR,,,,,,,,,,,,
2025-10-06 15:30:00,VDH Adquisición de de instrumental de oftalmología para el HCSBA,,,,,,,,,,,,
2025-10-17 15:30:00,Diseño de Arquitectura y Especialidades CAT,,,,,,,,,,,,
2025-10-09 15:00:00,CONTRATACIÓN DE SERVICIO EXTERNO DE GUARDIAS,,,,,,,,,,,,
2025-10-22 17:00:00,SERVICIO DE ASEO PARA EL HOSPITAL SAN ANTONIO DE PUTAENDO ,,,,,,,,,,,,
2025-10-07 13:21:00,COMPRA DE SERVICIO DE PERSONAL MEDICO Y NO MEDICO,,,,,,,,,,,,
2025-10-07 21:00:00,COMPRA DE ZAPATOS DE SEGURIDAD.,,,,,,,,,,,,
2025-10-07 15:37:00,Cargas para filtros de Dialisis,,,,,,,,,,,,
2025-10-08 16:22:00,Compra de insumos para pacientes,,,,,,,,,,,,
2025-10-09 16:00:00,SUMINISTRO DE SEVOFLURANO,,,,,,,,,,,,
2025-10-23 16:00:00,SUMINISTRO DE INSUMOS Y DETERMINACIONES PARA UMT,,,,,,,,,,,,
2025-10-27 20:00:00,Suministro Protesis de Rodilla 2,,,,,,,,,,,,
2025-10-06 16:00:00,PRESTACIONES VASCULARES,,,,,,,,,,,,
2025-10-07 16:00:00,CONV. INSUMOS Y REACTIVOS PARA EXÁMENES DE MICROBIOLOGÍA CON PROVISIÓN DE EQUIPAMIENTO RED SSAN,,,,,,,,,,,,
2025-10-07 15:30:00,MANTENCIÓN CORRECTIVA CLÍNICA DENTAL MÓVIL HCHF-44,,,,,,,,,,,,
2025-10-09 15:30:00,ADQUISICIÓN DE PASTAS DENTALES APS,,,,,,,,,,,,
2025-10-13 15:30:00,ADQUISIÓN INSUMOS DENTALES CLÍNICAS MÓVILES DSSAN,,,,,,,,,,,,
2025-11-07 15:00:00,Suministro de Gases Clínicos y Gases Especiales para el Hospital Clínico de Magallanes,,,,,,,,,,,,
2025-10-28 17:34:00,SERVICIOS EJECUCIÓN DE EXÁMENES PET-CT Y SPECT-CT,,,,,,,,,,,,
2025-10-06 15:00:00,IMPLANTES E INSUMOS TMT HCM 2025-2027,,,,,,,,,,,,
2025-10-13 15:01:00,INSUMOS Y ACCESORIOS DE EQUIPOS MÉDICOS 2026-2027,,,,,,,,,,,,
2025-10-16 15:00:00,REACTIVOS PARA LA REALIZACIÓN DE EXÁMENES PCR EN T,,,,,,,,,,,,
2025-10-06 15:00:00,INSUMOS PARA CIRUGIAS DIGESTIVAS,,,,,,,,,,,,
2025-10-16 15:00:00,INSUMOS PARA ENDOSCOPIA,,,,,,,,,,,,
2025-10-07 15:00:00,INSUMOS DE HEMODINAMIA VASCULAR HCM 2025-2026,,,,,,,,,,,,
2025-10-06 15:00:00,INSUMOS MEDICOS PARA CAE Y C.R. DE LA MUJER ,,,,,,,,,,,,
2025-10-07 15:00:00,ANTISEPTICOS Y DESINFECTANTES HCM 2026-2027,,,,,,,,,,,,
2025-10-20 15:00:00,Contratación de Servicio de Bodegaje Externo para el Hospital Clínico de Magallanes,,,,,,,,,,,,
2025-10-07 14:24:00,Contratación de Servicios Hoteleros para relatores,,,,,,,,,,,,
2025-10-06 15:00:00,PAN FRESCO HCM 2025-2026,,,,,,,,,,,,
2025-10-27 15:00:00,INSUMOS MÉDICOS PARA UPC 2026-2027 ,,,,,,,,,,,,
2025-10-27 15:00:00,INSUMOS PARA TERAPIA VAC,,,,,,,,,,,,
2025-10-07 09:00:00,PRESTACIONES TRANSITORIAS DE AGENTES COMUNITARIOS,,,,,,,,,,,,
2025-10-13 15:30:00,COMPRA DE SERVICIOS DE EQUIPO QUIRÚRGICO PARA CIRUGÍAS DE COLECTOMÍA RECONSTRUCCIÓN COLOPROCTOLOGÍA HEMICOLECTOMÍA,,,,,,,,,,,,
2025-10-15 17:00:00,CONVENIO REVISION PRUEBAS Y REGISTRO DE CALDERAS DE VAPOR CALEFACCION Y AUTOCLAVES,,,,,,,,,,,,
2025-10-06 15:03:00,CONVENIO MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS SISTEMA DE ALIMENTACIÓN ININTERRUMPIDA MMA,,,,,,,,,,,,
2025-10-07 15:30:00,COMPRA DE SERVICIOS 1° Y 2° CIRUJANO PARA CIRUGIAS DE MENISCOS-ARTROSCOPIA DE RODILLA,,,,,,,,,,,,
2025-10-06 15:30:00,1° y 2° Cirujano para Cirugías de LCA-Meniscos,,,,,,,,,,,,
2025-10-10 16:00:00,AC - TRAUMATOLOGOS PARA FAST TRACK,,,,,,,,,,,,
2025-10-09 15:03:00,CONVENIO DE MANTENCIÓN PREVENTIVA Y CORRECTIVA DE SALA DE GASES MEDICINALES mma,,,,,,,,,,,,
2025-10-06 15:30:00,COMPRA DE SERVICIOS 1° Y 2° CIRUJANO PARA CIRUGIAS DE MAMAS,,,,,,,,,,,,
2025-10-06 17:00:00,ARRIENDO CENTRAL DE MONITOREO PARA UTI NEUROQUIRÚRGICA dsb,,,,,,,,,,,,
2025-10-13 17:00:00,Convenio en Consignación para Kit Maleta TAVI ccb ,,,,,,,,,,,,
2025-10-06 15:00:00,ADQUISICIÓN DE MATERIALES NECESARIOS PARA LA ATENCION CLINICA DE USUARIOS DEL SERVICIO DE REHABILITACIÓN DEL HOSPITAL DE LA FAMILIA Y LA COMUNIDAD DE HUÉPIL,,,,,,,,,,,,
2025-10-13 15:30:00,PRESTACIONES DE APOYO CLINICO PROGRAMA PSICOSOCIAL,,,,,,,,,,,,
2025-10-13 16:00:00,CONV. SERV. DE ASEO PARA TODO EL HOSPITAL DE YUMBE,,,,,,,,,,,,
2025-10-27 17:00:00,UNIFORME CONDUCTORES Y CUARTO TURNO TENS TRASLADO,,,,,,,,,,,,
2025-10-09 18:47:00,MANTENCION PREVENTIVA Y CORRECTIVA EQUIPOS,,,,,,,,,,,,
2025-10-06 15:30:00,Convenio de Suministro Eliminación de documentos,,,,,,,,,,,,
2025-10-06 16:00:00,Convenio Mantención Refrigeradores,,,,,,,,,,,,
2025-10-06 16:00:00,Convenio Mantención Equipos Dentales,,,,,,,,,,,,
2025-10-06 17:00:00,SUMINISTRO COFFE BREAK PARA ACT. DE SALUD MENTAL,,,,,,,,,,,,
2025-10-09 15:00:00,DIPLOMADO DENOMINADO “GESTIÓN FARMACÉUTICA”,,,,,,,,,,,,
2025-10-20 15:30:00,TRATAMIENTOS DE ORTODONCIA CON APARATOLOGÍA FIJA AÑO 1 - AÑO 2 CESFAM DR. VMF,,,,,,,,,,,,
2025-10-08 13:00:00,SERVICIO MANTENCIONES PREVENTIVAS CORRECTIVAS Y REPARATIVAS PARA VEHICULOS INSTITUCIONALES DEL CESFAM Dr. VICTOR M. FERNANDEZ,,,,,,,,,,,,
2025-10-06 15:00:00,CAPACITACIONES ATENCIÓN PRIMARIA RED ASISTENCIAL,,,,,,,,,,,,
2025-10-07 15:00:00,Servicio Aseo por 12 meses Cosam Lo Errázuriz SSMC,,,,,,,,,,,,
2025-10-16 15:01:00,Servicio Tto. Residencial Consumo Alcohol-Drogas,,,,,,,,,,,,
2025-10-13 16:00:00,CONVENIO MANTENIMIENTO EQ. MEDICOS ACREDITABLES,,,,,,,,,,,,
2025-10-13 16:00:00,SUMINISTRO DE INFORMES RADIOLOGICOS,,,,,,,,,,,,
2025-10-24 16:00:00,SUMINISTRO DE EXAMENES DE TOMOGRAFIA COMPUTARIZADA,,,,,,,,,,,,
2025-10-06 17:00:00,Suministro de Insumos para Ortodoncia y Ortopedia,,,,,,,,,,,,
2025-10-06 18:00:00,Suministro de Insumos Generales: Sujetadores,,,,,,,,,,,,
2025-10-06 18:00:00,Suministro de insumos Generales: Agujas Krischner,,,,,,,,,,,,
2025-10-06 18:00:00,Suministro de insumos: Sondas Gastricas,,,,,,,,,,,,
2025-10-13 18:00:00,Suministro de Sondas,,,,,,,,,,,,
2025-10-14 15:00:00,CONSERVACIÓN DE BAÑOS EDIFICIO SSMN,,,,,,,,,,,,
2025-10-15 15:00:00,SERVICIO DE TRASLADOS DE PACIENTES EN HEMODIÁLISIS,,,,,,,,,,,,
2025-10-16 15:05:00,Tarjetas electrónicas para beneficio alimentación,,,,,,,,,,,,
2025-10-06 15:30:00,SERVICIO DE HORAS ENEFERMERIA URGENCIA DEL HDS,,,,,,,,,,,,
2025-10-17 16:00:00,Servicio de Unidad de Movilización y transporte para el Hospital del Salvador,,,,,,,,,,,,
2025-10-20 17:00:00,Servicios de Medicina Oftalmológica en Unidad de Trauma Ocular ,,,,,,,,,,,,
2025-10-13 16:00:00,Convenio de Suministro de Placas y Tubos Agar preparados para A.T. Microbiología por 36 meses en el Hospital del Salvador ,,,,,,,,,,,,
2025-10-22 16:00:00,ERP PARA CONTINUIDAD ASISTENCIAL DE HOSPITAL DEL SALVADOR E INSTITUTO NACIONAL DE GERIATRÍA PRESIDENTE EDUARDO FREI MONTALVA.,,,,,,,,,,,,
2025-10-13 16:00:00,Convenio de Suministro de Set de Intubación Vía Lagrimal por 36 meses para Hospital del Salvador ,,,,,,,,,,,,
2025-10-13 16:00:00,Servicio de mantenimiento preventivo y correctivo para Cánulas Nasales de Alto Flujo Ventiladores Mecánicos Bases Calefactoras monitores biparámetros y desfibriladores pertenecientes a diversos servicios del Hospital del Salvador,,,,,,,,,,,,
2025-10-13 15:30:00,Convenio de Suministro de Set de Clavo de Húmero por 24 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-13 17:00:00,Convenio de Suministro de Set de placas bloqueadas de Húmero Proximal por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-13 16:00:00,Convenio de Suministro de Set Artroplastia Total de Rodilla tipo modular bisagra por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-13 16:00:00,Convenio de Suministro de Set de Prótesis de Cúpula Radial por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-13 16:00:00,Convenio de Suministro de Kit de Insumos para Cirugía MIS por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-13 17:00:00,Convenio de Suministro de Set de placas bloqueadas de calcáneo por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-14 16:00:00,Convenio de Suministro de Vástago de revisión no cementado tipo Monoblock por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-14 16:00:00,CONVENIO DE SUMINISTRO DE CATETER SOPORTE DE CRUCES POR 36 MESES PARA HOSPITAL DEL SALVADOR. ,,,,,,,,,,,,
2025-10-29 17:00:00,Servicio Guardias y Seguridad Privada para el Hospital del Salvador,,,,,,,,,,,,
2025-10-10 16:00:00,Convenio de suministro de reactivos e insumos para análisis automatizado en bioquímica clínica y otros por doce 12 meses con incorporación de equipamiento para Laboratorio Clínico del Hospital del Salvador ,,,,,,,,,,,,
2025-10-10 14:00:00,CONVENIO SUMINISTRO DE INMOVILIZADOR DE MUÑECA,,,,,,,,,,,,
2025-10-20 15:12:00,Convenio de Suministro de Prótesis Biliares diferentes medidas por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-10 16:00:00,Convenio de Suministro de Cánula de Vitroretina para Servicio de Oftalmología por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-21 16:00:00,Convenio de Suministro de Insumos para cirugía artroscópica de hombro por 24 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-13 16:00:00,Convenio de Suministro de Kit de Laparoscopía y Otros por 24 meses para Hospital del Salvador ,,,,,,,,,,,,
2025-10-13 16:00:00,Convenio de Suministro de Prótesis Vascular Recta por 36 meses para Hospital del Salvador ,,,,,,,,,,,,
2025-11-03 17:00:00,Convenio de Suministro de Endoprótesis Torácica Autoexpandible y Flexible por 36 meses para Hospital del Salvador,,,,,,,,,,,,
2025-10-13 16:00:00,CONVENIO DE SUMINISTRO DE STENT BALON MONTADO TIPO BEGRAFT POR 24 MESES PARA HOSPITAL DEL SALVADOR.  ,,,,,,,,,,,,
2025-10-13 16:00:00,CONVENIO DE SUMINISTRO DE ELECTRODOS PARA ELECTROMIOGRAFIA EN SERVICIO DE NEUROLOGÍA POR 36 MESES PARA HOSPITAL DEL SALVADOR.   ,,,,,,,,,,,,
